Date,Minimum Temperature,Maximum Temperature,Rainfall,Evaporation,Sunshine,Direction Max Wind Gust,Speed Max Wind Gust,Time Max Wind Gust,Suburb
08/12/2023,13.3,26.0,0,,13.0,SW,54,14:15,The Spectacles
09/12/2023,13.2,28.8,0,,13.0,ESE,52,13:07,The Spectacles
21/12/2023,22.2,36.6,0,,9.6,SE,57,15:24,The Spectacles
22/12/2023,22.7,31.6,0,,12.6,ESE,39,0:17,The Spectacles
23/12/2023,17.7,36.0,0,,13.1,ESE,56,23:44,The Spectacles
24/12/2023,16.6,34.2,0,,12.4,E,57,4:09,The Spectacles
25/12/2023,20.1,36.2,0,,12.0,SW,41,15:11,The Spectacles
8/12/2023,13.3,26.0,0,,13.0,SW,54,14:15,Anketell
9/12/2023,13.2,28.8,0,,13.0,ESE,52,13:07,Anketell
09/12/2023,13.8,28.8,0,10.2,13.0,ESE,39,14:40,Ellenbrook
10/12/2023,14.4,31.3,0,10.8,13.3,,,,Bailup
22/12/2023,18.5,32.8,0,12.6,12.6,W,30,11:31,Bailup
23/12/2023,15.9,35.4,0,8.4,13.1,ESE,39,21:50,Bailup
24/12/2023,16.6,36.2,0,12.8,12.4,SSE,52,1:33,Bailup
25/12/2023,19.5,38.8,0,9.4,12.0,WSW,33,13:52,Bailup
26/12/2023,20.2,28.6,0,10.6,9.5,SW,33,15:22,Bailup
27/12/2023,16.9,28.2,0,8.4,12.7,SSW,37,14:04,Bailup
01/01/2024,17.1,30.9,0,9.0,11.8,WSW,31,14:44,Bailup
07/01/2024,16.9,37.3,0,9.2,12.7,SW,30,17:05,Bailup
12/01/2024,19.7,38.1,0,9.2,13.0,E,43,22:35,Bailup
13/01/2024,23.5,41.2,0,11.0,11.3,E,37,0:19,Bailup
15/01/2024,21.2,38.1,0,11.0,12.1,W,30,12:59,Bailup
08/02/2024,18.5,40.9,0,11.8,12.7,SW,35,15:43,Bailup
09/02/2024,20.2,43.6,0,14.2,12.5,SW,35,16:06,Bailup
10/12/2023,15.0,31.4,0,,,ESE,50,0:10,Wellard
10/12/2023,14.2,31.2,0,,13.3,E,52,0:13,Oldbury
07/01/2024,16.7,35.1,0,,12.7,SSW,39,16:45,Oldbury
07/02/2024,15.9,36.5,0,,12.6,ESE,44,2:10,Oldbury
08/02/2024,17.5,40.0,0,,12.7,ESE,41,2:55,Oldbury
09/02/2024,21.0,42.6,0,,12.5,NE,44,9:21,Oldbury
10/12/2023,15,31.4,0,NULL,NULL,ESE,50,0:10,Wellard
22/12/2023,20.0,28.0,0,NULL,NULL,E,28,0:15,Wellard
23/12/2023,19.8,27.6,0,NULL,NULL,ESE,54,22:35,Wellard
24/12/2023,17.1,31.8,0,NULL,NULL,ESE,50,1:11,Wellard
25/12/2023,17.8,27.7,0,NULL,NULL,SSW,44,16:48,Wellard
26/12/2023,20.2,24.0,0,NULL,NULL,SSW,54,23:13,Wellard
27/12/2023,17.9,24.2,0,NULL,NULL,SE,57,23:13,Wellard
01/01/2024,17.9,24.0,0,NULL,NULL,SSW,67,19:08,Wellard
07/01/2024,19.2,30.9,0,NULL,NULL,SSW,43,17:25,Wellard
12/01/2024,19.1,36.1,0,NULL,NULL,ENE,52,21:36,Wellard
13/01/2024,23.6,36.7,0,NULL,NULL,E,41,0:23,Wellard
15/01/2024,22.0,33.1,0,NULL,NULL,N,31,7:56,Wellard
08/02/2024,18.1,36.5,0,NULL,NULL,S,39,19:00,Wellard
09/02/2024,20.6,41.3,0,NULL,NULL,S,31,16:25,Wellard
